,Word,Meaning,ShortDefinition,LongDefinition,Synonyms,Antonyms
0,immutable,(adj) not subject or susceptible to change or variation in form or quality or nature,"If you can't change it, it's immutable. There are many things in life that are immutable; these unchangeable things include death, taxes, and the laws of physics.","The adjective immutable has Latin roots that mean ""not changeable."" The Latin prefix for not is in, but the spelling changes when the prefix is put before the consonant m. It is im before a root word starting with m as in immutable. If you learn this rule, you'll know the immutable fact that immutable begins with i-m-m.",changeless,changeable mutable
0,mendacious,(adj) given to lying (adj) intentionally untrue,A mendacious person is one who tells lies habitually and intentionally. Don't get stuck at the water cooler or bus stop next to someone you consider mendacious!,"People may tell ""white lies"" if they forgot your birthday or really don't like your new haircut, but if you catch someone intentionally manipulating you with a falsehood, that person is just plain mendacious. So think of the most deceptive, insincere, perfidious, duplicitous, false person you've ever met, and then add the word mendacious to that list.",untruthful false,
0,ameliorate,(v) make better (v) get better,To ameliorate is to step in and make a bad situation better. You could try introducing a second lollipop to ameliorate a battle between two toddlers over a single lollipop.,"The verb ameliorate comes from the Latin word meliorare, meaning “improve.” Food drives can ameliorate hunger. An air conditioner can ameliorate the discomfort of a stiflingly hot summer day. A sympathy card can ameliorate grief. Family therapy can ameliorate severe sibling rivalry. Anything that can lift a burden or make something better can ameliorate.",amend better improve meliorate better improve meliorate,aggravate exacerbate exasperate worsen decline worsen
0,contrite,(adj) feeling or expressing pain or sorrow for sins or offenses,"We are sorry to inform you that the adjective contrite means regretful, remorseful, or even guilty.","Someone who feels remorse or guilt is contrite and in addition to feeling sorry, part of the definition includes wanting to atone for having done something wrong. The word comes from the Latin roots com- meaning ""together"" and terere which means ""to rub."" It's also related to the Latin word conterere and is defined as ""to bruise."" In the field of theology being contrite is ""being remorseful for past sin and resolved to avoid future sin.""",remorseful rueful ruthful,
0,effrontery,(n) audacious (even arrogant) behavior that you have no right to,"If you rudely behave as if you have a right to something that you have no right to, you're committing effrontery. When a couple stroll into a crowded restaurant, demand the best table, and threaten the staff unless they're seated right away, that's effrontery.","People have been guilty of outrageously self-centered behavior at least since 1715, when effrontery was coined. Tracing to the French word effrontÃ©, meaning ""shameless,"" the word effrontery is also connected to brazen, which means ""of brass,"" and describes someone so accustomed to effrontery that he's hardened to it and has no concern for the harm done to others.",assumption presumption presumptuousness,
0,impair,(v) make worse or less effective (v) make imperfect,"If you make bad decisions in the morning after drinking coffee, you might conclude that caffeine tends to impair your judgment. When you impair something, you damage it or make it work poorly.","The root of the verb impair traces back to the Latin word pejorare, meaning “to make worse,” and that’s still what happens if you impair something. Whether it’s communication, visibility, or your marriage prospects, if you impair it, you make it worse. The word can be used for situations that describe something that has deteriorated, such as “Snow continued to impair driving conditions.”",deflower mar spoil vitiate,
0,metamorphosis,(n) a striking change in appearance or character or circumstances (n) a complete change of physical form or substance especially as by magic or witchcraft (n) the marked and rapid transformation of a larva into an adult that occurs in some animals,"In Kafka's novel entitled Metamorphosis, a man wakes up to find he has turned into a cockroach. That kind of complete and startling change pretty much sums up the word.","When a caterpillar becomes a butterfly, it goes through a metamorphosis. An idea can undergo metamorphosis, or metamorphosize, too as can feelings. After you spend a full summer with your grandmother, your feelings about the woman may undergo a complete metamorphosis. While you were once afraid of the old woman, you now love her dearly.",transfiguration metabolism,
0,anachronism,(n) the act of locating something at a time when it could not have existed or occurred (n) an artifact that belongs to another time (n) a person who seems to be displaced in time; who belongs to another age,"An anachronism is something that doesn't fit its time period, like if you say you'll ""dial"" your smartphone.","Anachronism comes from the Greek roots ana- which means ""against"" and chron- which means ""time."" Together they represent a situation in which something happens that should not because it belongs to another time period. You see anachronisms all the time in the movies â€” they occur when you see a jet fly over a Civil War battle! Or knights jousting over a maiden during the time of Shakespeare!",misdating mistiming,
0,conundrum,(n) a difficult problem,"The tricky word conundrum is used to describe a riddle or puzzle, sometimes including a play on words or pun.","One of the most famous conundrums is the riddle of the Sphinx, famously in the play Oedipus the King by Sophocles. Oedipus encounters the Sphinx, a mythical beast, who asks him, ""What walks on four legs in the morning, two in the afternoon, and three in the evening?"" The answer is ""A person"": crawling as a child, walking as an adult, and using a cane in old age. The scary thing is that if the Sphinx asked you the riddle and you didn't know, she'd eat you!",brain-teaser enigma riddle,
0,elegy,(n) a mournful poem; a lament for the dead,"An elegy is a sad poem, usually written to praise and express sorrow for someone who is dead. Although a speech at a funeral is a eulogy, you might later compose an elegy to someone you have loved and lost to the grave.","The purpose of this kind of poem is to express feelings rather than tell a story. Thomas Gray's “Elegy Written in a Country Churchyard” is a poem that reflects on the lives of common people buried in a church cemetery, and on the nature of human mortality. The noun elegy was borrowed in the 16th century from Middle French élégie, from Latin elegīa, from Greek elegeia, from elegos ""mournful poem or song.""",lament,
0,impassive,(adj) having or revealing little emotion or sensibility; not easily aroused or excited (adj) deliberately impassive in manner,"Someone who doesn't seem to react — who is always ""taking a pass"" in the conversation of life can be described as impassive.","Impassive is tricky, as it sounds it should be the opposite of passive. It's not, though. The fact is you can be passive and impassive at the same time. When a passive person gets passed over for a promotion at work, their face might remain impassive upon hearing the news.",stolid deadpan expressionless poker-faced unexpressive,
0,meticulous,(adj) marked by precise accordance with details (adj) marked by extreme care in treatment of details,"People who are meticulous can be pretty annoying, what with their extreme attention to detail. But if that person is, say, your surgeon or your accountant, you'll want them to be meticulous.","The Latin root of meticulous is metus, which means ""fear,"" so it's easy to see how eventually meticulous got its meaning. Someone who's meticulous is afraid of what will happen if they're not careful enough to get every detail right. ""Detail oriented"" and ""perfectionist"" are other ways of describing someone who cares deeply about the small things and about getting things exactly right, every time. Concert pianists must be meticulous, because audiences are always listening for wrong notes.",punctilious fastidious,
0,analogous,(adj) similar or equivalent in some respects though otherwise dissimilar (adj) corresponding in function but not in evolutionary origin,Use the adjective analogous to describe something that is similar to something else and can be compared to another.,"Analogous things can be compared to each other, so a near synonym is the adjective comparable. Analogous is a term used in biology to refer to body parts that have a similar function but differ in structure, such as the wings of a bird and the wings of an airplane. Analogous is from Latin analogus, from Greek analogos, meaning ""according to a proper ratio or proportion.""",correspondent,homologous heterologic heterological heterologous homologic homological
0,converge,(v) be adjacent or come together (v) approach a limit as the number of terms increases without limit (v) move or draw together at a certain location (v) come together so as to form a single product,Use the verb converge to describe something that comes together at a common point: “Thousands of Elvis fans plan to converge on the small Arkansas town where unconfirmed sightings of the deceased superstar eating at a local barbeque restaurant had been widely reported.”,"Two roads, a roomful of politicians, or a group of rabid fans — when things come together from different points they converge. Converge traces back to the Latin word vergere, meaning “to bend or to turn."" The prefix con- means ""with,"" a good way to remember that things that converge come together. Don't confuse it with diverge, which means the opposite: ""move away,"" because the prefix “dis-” means “apart.”",meet,diverge diverge diverge diverge
0,elicit,"(v) call forth (emotions, feelings, and responses) (v) deduce (a principle) or construe (a meaning) (v) derive by reason","When you elicit, you're bringing out a response of some sort. A good comedian elicits a lot of laughs.","Elicit has to do with creating or provoking a response. A great speech will elicit cheers â€” a bad speech will elicit boos. Teachers try to elicit responses from students. If a friend smiles at you, it will probably elicit a smile of your own. In court, a lawyer might try to elicit mistakes and inconsistencies in the testimony of a witness. In all cases, whatever is elicited is some kind of response.",arouse enkindle evoke fire kindle provoke raise draw out educe evoke extract,
0,impede,(v) be a hindrance or obstacle to (v) block passage through,To impede something is to delay or block its progress or movement. Carrying six heavy bags will impede your progress if you're trying to walk across town in a hurry.,"Impede comes from the Latin impedire which literally means ""to hold the feet,"" formed from the prefix in- (""in"") plus pes (""foot""). Think about walking with a cast on your foot — how slow and awkward that would be. If you struggle with reading, that might impede your progress in your social studies class. An impediment is something that impedes, such as a physical defect that affects speech — a speech impediment.",hinder block close up jam obstruct obturate occlude,disengage free
0,misanthrope,(n) someone who dislikes people in general,"A misanthrope is a person who hates or mistrusts other people. Your great aunt Edna who lashes out at anyone who approaches, convinced they'll steal the jewelry she keeps in her handbag on her lap? A misanthrope indeed.","This is a formal word, derived from Greek misanthrōpos ""hating mankind,"" from misein ""to hate"" plus anthrōpos ""a man."" From the same root, we get the English word anthropology ""the study of humans."" If you make a statement or do something that is particularly hostile or untrusting, you can call that misanthropic.",misanthropist,
0,anarchy,(n) a state of lawlessness and disorder (usually resulting from a failure of government),Use the noun anarchy to describe a complete lack of government — or the chaotic state of affairs created by such an absence. A substitute teacher might worry that an unruly classroom will descend into anarchy.,"From the Greek for ""without a ruler"" we get this word for the political philosophy that the best government is no government at all — a movement that enjoyed surprising success worldwide in the early and middle parts of the twentieth century. Today, the word is more commonly used to describe not a political ideal but a state of total disorder, chaos and even violence: ""A type of bloody anarchy is beginning to reign."" A good synonym would be ""lawlessness.""",lawlessness,
0,convoluted,(adj) highly complex or intricate and occasionally devious (adj) rolled longitudinally upon itself,"If something is convoluted, it's intricate and hard to understand. You'll need to read over your brother's convoluted investment scheme a few times before deciding whether or not to go in on it.","Convoluted comes from the Latin convolutus for rolled up together. Its original meaning in English was exactly that, first for eaves coiled up on themselves, then for anything rolled or knotted together. Over time convoluted took on its metaphorical sense of complicated and intricate, which is how it's generally used today. People complain about convoluted legal language and the convoluted tax code.",Byzantine involved knotty tangled tortuous convolute,
0,embellish,"(v) make more attractive by adding ornament, color, etc. (v) make more beautiful (v) add details to (v) be beautiful to look at","The word ""bell"" shows up in the middle of embellish, and bells are something that decorate, or embellish something, making it more attractive. If you embellish speech, though, it can get ugly if you add a lot of details that aren't true.","Embellish often has the positive meaning of adding something to make it more handsome or beautifully decorated. But, while adding bells to something looks great at first, after a couple of hours of bells ringing in the ears, what was meant to embellish and beautify can get annoying. That's what can happen when you embellish by adding too many false or exaggerated details to a story. Embellishing with true, colorful details and vivid descriptions is what can really enhance the beauty of a story.",adorn beautify decorate grace ornament beautify fancify prettify aggrandise aggrandize blow up dramatise dramatize embroider lard pad adorn beautify deck decorate grace,uglify
0,impermeable,(adj) preventing especially liquids to pass or diffuse through,"If you have a waterproof raincoat, you could say that your coat is impermeable to the rain. Something that is impermeable does not allow water or liquid to pass through it.","Made up of the prefix im-, meaning “not,” and the adjective permeable, meaning “allowing to pass through,” impermeable is used in much the same way as impervious or impenetrable. However, more so than these words, impermeable is especially associated with liquids and is often used in a scientific or technical context. Some gadgets, like waterproof watches and underwater cameras, are designed to be impermeable.",tight retentive water-repellent water-resistant imperviable impervious,permeable leaky porous semipermeable pervious
0,mitigate,(v) lessen or to try to lessen the seriousness or extent of (v) make less severe or harsh,Choose the verb mitigate when something lessens the unpleasantness of a situation. You can mitigate your parents' anger by telling them you were late to dinner because you were helping your elderly neighbor.,"The somewhat formal verb mitigate comes from the Latin roots mÄ«tis ""soft"" and agere ""to do/act,"" which add up to ""to soften."" It is often used with words that indicate an outcome or something harmful. When you buy car insurance, you are trying to mitigate the risks involved with driving. Sunscreen is used to mitigate the effects of the sun on your skin.",extenuate palliate,
0,anomalous,(adj) deviating from the general or common order or type,"Something that deviates from the norm is anomalous. Something anomalous can be good, such as an exciting new direction in music or art. But that anomalously low score on your math test? Not so good.","To find the origins of the word anomalous we can go back to the Greek aná¹“malos,  meaning ""uneven or irregular."" Something that is anomalous is not just different; it is also unexpected, and may even be completely inconsistent with the norm. For example, the recent discovery of ice, and therefore water, on the moon was anomalous to all previous ideas that the moon was lifeless.


.",abnormal unnatural,
0,craven,(adj) lacking even the rudiments of courage; abjectly fearful (n) an abject coward,"A craven man is no Superman or Spiderman, nor is he a firefighter or a soldier. A craven man is the opposite of those guys: he has not an ounce of courage.","In ""The Wizard of Oz,"" the Cowardly Lion could have been called the Cravenly Lion, but that didn't sound quite right. Use craven as you would cowardly. A craven leader is scared to lead, while a craven gymnast stays on the mat and avoids the balance beam. You can also use the word to describe other things, besides humans. Craven policies, for example, are probably weak and do not take bold measures.",recreant poltroon recreant,
0,empirical,(adj) derived from experiment and observation rather than theory (adj) relying on medical quackery,"If knowledge is empirical, it's based on observation rather than theory. To do an empirical study of donut shops, you'll need to visit every one you can find.","Empirical looks like empire comes from a completely different origin: it is from the Greek empeirikos, meaning experienced. It was originally used in medicine for doctors making choices based on observation and experiment rather than theoretical ideas. It's now used for any kind of knowledge that comes from experience. Meditate all day on the origins of donuts, but until you visit the donut bakery you'll lack empirical knowledge of donut creation.",empiric empiric,theoretic theoretical abstractive a priori conjectural divinatory hypothetic hypothetical supposed suppositional suppositious supposititious notional speculative metaphysical theory-based
0,imperturbable,(adj) not easily perturbed or excited or upset; marked by extreme calm and composure,"If you're imperturbable you are not easily upset. If your goal is to be imperturbable, then you can't let things bother you or get you stressed, confused, or angry.","The adjective imperturbable is the flip side of perturbable, which comes from perturb, which in turn traces back to the Latin word perturbare, meaning “to confuse” or “to disturb.” If something really annoying is going on, like one neighbor is jack-hammering his driveway and another has a dog that's barking while you're trying to sleep because you were up all night studying and you really really need a nap, but you stay calm and don’t get upset, you are imperturbable.",unflappable,
0,mollify,"(v) cause to be more favorably inclined; gain the good will of (v) make more temperate, acceptable, or suitable by adding something else; moderate (v) make less rigid or softer","To mollify is to calm someone down, talk them off the ledge, make amends, maybe even apologize.","Mollify comes from the Latin mollificare to ""make soft,"" and that's still at the heart of the word. When you mollify someone, you smooth things over, even if you're maybe still a little mad: ""I was angry that the guy took my seat, but I was mollified when he offered me one closer to the band."" Unlike the sharp sounds of antagonize, there are only soft sounds in this word that means to make someone feel soft and cuddly. Although dryer sheets might soften your clothes, they don't mollify them (unless your clothes were really mad at you before).",appease assuage conciliate gentle gruntle lenify pacify placate season temper,
0,antipathy,(n) a feeling of intense dislike (n) the object of a feeling of intense aversion; something to be avoided,"An antipathy is a deep-seated dislike of something or someone. Usually it's a condition that is long-term, innate, and pretty unlikely to change — like your antipathy for the Red Sox.","If you look at the Greek roots of this word — anti- (meaning ""against"") and pathos (meaning ""feeling""), you can see that antipathy is a feeling against someone or something. In general, antipathies are considered feelings that are kept at least somewhat under wraps and are not out on the surface.",aversion distaste,
0,daunt,(v) cause to lose courage,"Daunt means to frighten or scare off. The Cowardly Lion's efforts to daunt Dorothy, the Scarecrow, and the Tin Man were less than successful.","Daunt rhymes with haunt, another word which means to frighten, though in a creepier sense. Walking through your neighbors' haunted house on Halloween might daunt your little brother, even though he's unlikely to encounter anything scarier than plastic skeletons and ghosts made of sheets. Daunt often shows up as part of the adjective undaunted, which describes someone who remains unafraid or perseveres in the face of scary circumstances.",dash frighten away frighten off pall scare scare away scare off,
0,emulate,"(v) strive to equal or match, especially by imitating (v) compete with successfully; approach or reach equality with (v) imitate the function of (another system), as by modifying the hardware or the software","When you emulate someone, you imitate them, especially with the idea of matching their success.","When someone is impressive because of their great skills, brains, strength, or accomplishments, others will emulate them. To emulate is to imitate and model yourself after someone. People emulate role models â€” people they want to be like. After Michael Jordan retired from the NBA, player after player tried to emulate Jordan's game and success. It's hard to be as good as someone like that, but having a hero to emulate can be helpful in many areas of life.",,
0,impervious,(adj) not admitting of passage or capable of being affected,"An impervious surface is one that can't be penetrated. The word is often followed by ""to,"" as in ""His steely personality made him impervious to jokes about his awful haircut.""","Most of the sentences you'll run across using impervious will be followed by the word ""to"" and a noun. Things are often described as being impervious to physical assaults like heat, water, bullets, weather, and attack, but just as frequently to less tangible things, like reason, criticism, pain, and pressure. The word comes from Latin: in- + pervius, meaning ""not letting things through."" A common synonym is impermeable.",imperviable,pervious permeable receptive
0,morose,(adj) showing a brooding ill humor,"A morose person is sullen, gloomy, sad, glum, and depressed — not a happy camper.","When someone is morose, they seem to have a cloud of sadness hanging over them. This word is stronger than just sad — morose implies being extremely gloomy and depressed. We all can be morose at times, like after the death of a friend or family member. Whether you're morose due to an event or just because you're feeling blue, you should try skipping or whistling a little tune to perk things up.",dark dour glowering glum moody saturnine sour sullen,
0,apathy,(n) an absence of emotion or enthusiasm (n) the trait of lacking enthusiasm for or interest in things generally,Use the noun apathy when someone isn't interested in the important things that are happening. You might feel apathy for the political process after watching candidates bicker tediously with one another.,"Although apathy is a lazy-sounding word indicating a lack of interest, action, or emotion, it has traveled through many languages to arrive in English. From the Greek apatheia, ""freedom from suffering"" or ""impassibility,"" apathy has existed in English since the 17th century. Not just one person, but a whole segment of the population can be accused of inaction or emotional detachment: the expressions voter apathy, student apathy, and consumer apathy show just how unenthusiastic groups of people can be.",indifference numbness spiritlessness,
0,decorum,(n) propriety in manners and conduct,"Decorum is proper and polite behavior. If you let out a big belch at a fancy dinner party, you're not showing much decorum.","This noun is from Latin decōrus ""proper, becoming, handsome,"" from décor ""beauty, grace,"" which is also the source of English décor. The corresponding adjective is decorous, meaning ""well-behaved in a particular situation."" Both decorum and decorous are often used to describe behavior in a classroom or courtroom.",decorousness,indecorousness indecorum
0,endemic,(adj) native to or confined to a certain region (adj) originating where it is found (adj) of or relating to a disease (or anything resembling a disease) constantly present to greater or lesser extent in a particular locality (n) a disease that is constantly present to a greater or lesser degree in people of a certain class or in people living in a particular location (n) a plant that is native to a certain limited area,"If you want to underscore just how commonly found and present something is within a particular place, try the word endemic. Tight pants are endemic in my lunch room!","Although endemic meaning ""prevalent"" often describes a plant or disease, it can also refer to something less tangible and more unwanted such as violence or poverty. Many complain of endemic corruption in the local government. Despite its -ic ending, endemic can also be used as a noun to signify a plant or animal that is prevalent in a certain region. If an endemic is brought to another area which it takes over, destroying the local population, it's classified as an invasive species. And researchers have cataloged several new African endemics.",autochthonal autochthonic autochthonous indigenous endemical endemic disease,cosmopolitan widely distributed epidemic ecdemic epiphytotic epizootic pandemic pestiferous pestilent pestilential plaguey
0,implacable,(adj) incapable of being placated,"An implacable person just can’t be appeased. If you really offended your best friend and tried every kind of apology but she refused to speak to you again, you could describe her as implacable.","Implacable is derived from the verb to placate, which means to soothe, or to appease. If you’re babysitting and the kid starts screaming the moment that his parents leave the house, and nothing you give him, be it a toy or ice cream, can calm him down, he might seem implacable. But try the TV. It tends to turn screaming kids into silent, happy zombies.",merciless unmerciful grim inexorable relentless stern unappeasable unforgiving unrelenting unmitigable,placable appeasable conciliable mitigable
0,mundane,(adj) found in the ordinary course of events (adj) concerned with the world or worldly matters (adj) belonging to this earth or world; not ideal or heavenly,"An ordinary, unexciting thing can be called mundane: ""Superman hid his heroic feats by posing as his mundane alter ego, Clark Kent.""","Mundane, from the Latin word mundus, ""world,"" originally referred to things on earth. Such things were supposed to be uninteresting when compared to the delights of Heaven; hence the word's present meaning. Writing about reality TV shows, a Newsweek writer opined, ""In reality bizarro-world, the mundane is presented as the spectacular"" â€” in other words, people's everyday routines are now televised as entertainment.",everyday quotidian routine unremarkable workaday terrestrial terrene,
0,appease,(v) make peace with (v) cause to be more favorably inclined; gain the good will of (v) overcome or allay,"Appease means to make or preserve peace with a nation, group, or person by giving in to their demands, or to relieve a problem, as in ""the cold drink appeased his thirst.""","Appease often implies abandoning your moral principles to satisfy the demands of someone who is greedy for power: think of British Prime Minister Chamberlain's attempt to appease the Nazis at Munich. The verb appease comes from the Old French apaisier, ""to pacify, make peace, or be reconciled,"" from the phrase ""a paisier,"" which combines a-, or ""to,"" and pais, ""peace,"" from the Latin pax.",propitiate assuage conciliate gentle gruntle lenify mollify pacify placate quell stay,
0,default,(n) an option that is selected automatically unless an alternative is specified (n) loss due to not showing up (n) loss resulting from failure of a debt to be paid (n) act of failing to meet a financial obligation (v) fail to pay up,"As a setting, a default is automatic.  You weren't sure why your new TV kept returning to the factory defaults until you realized you were sitting on the remote.","Default can also refer to a lack of other options. You shop at Green's by default; it's the only grocery store in town.  Default is also a failure to pay a financial obligation. The number of loan defaults was down this month. As a verb, it means ""to fail to pay."" Your credit score will go down if you default on a loan.",default option nonpayment nonremittal nonpayment nonremittal default on,payment ante up pay pay up
0,enervate,(v) weaken mentally or morally (v) disturb the composure of,"To enervate is to weaken, wear down, or even bum out. A three-hour lecture on the history of socks might thrill someone, it would enervate most people. So would a too-long soak in a hot tub. With your parents.","Trace enervate back far enough and you'll discover that it comes from the Latin enervare which means basically “to cut the sinew” or “to cause to be cut from the muscle.” That would certainly weaken someone. These days, there’s no need for violence. To enervate someone is to sap their energy, like by reading your ex all the love letters your new sweetheart wrote you. When something enervates you, it does more than get on your nerves; it brings you down.",faze unnerve unsettle,
0,implicit,,"Use the adjective implicit when you mean that something is understood but not clearly stated. You might think you and your boyfriend might have an implicit understanding that you are going to get married, but it's probably better to talk it through.","A very near synonym of implicit in this particular meaning is the word implied. But the adjective implicit  also means ""complete without any doubt,"" so we can say that we have implicit trust or confidence in someone. The Latin root ",,
0,negate,(v) make ineffective by counterbalancing the effect of (v) deny the truth of (v) prove negative; show to be false (v) be in contradiction with,"If something neutralizes the effect of something else, then you can say the effect is negated. Hanging a disco ball from your living room ceiling negates the sleek modern effect created by the contemporary furniture.","If something is proved false or untrue, it has been negated. The discovery of one dinosaur jaw negated the conventional wisdom that all dinosaurs were vegetarians, since the tooth structure proved that guy definitely ate meat. The verb negate can also mean to counteract or counterbalance â€” so a really strong serve can negate your other weaknesses on the tennis court.",neutralise neutralize nullify contradict contravene contradict belie contradict,affirm confirm corroborate substantiate support sustain
0,apprise,(v) inform (somebody) of something (v) make aware of (v) gain in value (v) increase the value of,"To apprise someone about something is to fill them in, to give them the scoop. If someone in your immediate family wins the mega-bucks lottery, you want to be the first one to be apprised of that event!","Don't confuse the verbs apprise and appraise. Appraise means to determine the value of something — either its quality or its monetary worth. Apprise, on the other hand, means to inform or make aware. This word has a rather formal, weighty tone. Presidents get apprised of foreign affairs, but you will most likely not get apprised of weather conditions or dinner plans.",advise apprize give notice notify send word apprize instruct appreciate apprize revalue appreciate apprize,depreciate devaluate devalue undervalue depreciate depreciate depreciate devaluate devalue undervalue
0,deference,(n) courteous regard for people's feelings (n) a courteous expression (by word or deed) of esteem or regard (n) a disposition or tendency to yield to the will of others,"Sure you wear ripped jeans to school every day, but you don't wear them to your grandmother's house out of deference to her. When you show deference to someone, you make a gesture of respect.","The noun deference goes with the verb defer, which means ""to yield to someone's opinions or wishes out of respect for that person."" If you and your dad disagree about the best route to the grocery store, you might defer to him, and take his route. You're taking his route out of deference to his opinion and greater experience.",respect respectfulness respect complaisance compliance compliancy obligingness,
0,engender,(v) call forth (v) make children,"Engender is a fancy way of saying ""to make happen,"" like when you engender the spirit of teamwork and cooperation by encouraging others and doing your share of the group's work.","The verb engender has nothing to do with being male or female, though originally, it did mean ""beget, procreate."" Today, engender means ""to produce or bring about."" When students come to class prepared, meaning they've read their assignment, this engenders better class discussions, just as mutual trust and the desire to help each other engenders a meaningful friendship.",breed spawn beget bring forth father generate get mother sire,
0,implode,(v) burst inward,"When something implodes, it explodes inward — instead of outward. With extremely large buildings, it helps to implode them rather than explode them, because by falling inward they take up less space.","Why bother to have a word like implode when you already have explode? Well, imagine there is something deep beneath the sea, being subjected to the intense pressure there. If the pressure is high enough that the object bursts, it would collapse in rather than out. It would, in fact, implode. People also sometimes use implode to describe a person subjected to intense pressures who, emotionally at least, bursts inward: ""All that stress just made Jess implode.""",go off,burst explode
0,neophyte,(n) any new participant in some activity (n) a new convert being taught the principles of Christianity by a catechist (n) a plant that is found in an area where it had not been recorded previously,A neophyte is someone who's brand new at something. You're a neophyte the first time you pick up a guitar and start learning to play.,"Neo- means new, and -phyte is from the Greek phuton ""plant""––like a baby plant, a neophyte is someone who is new to an activity. In Greek, neophytos, literally ""newly planted,"" was used to mean ""new church convert."" A political neophyte is someone who is newly elected and comes to Washington D.C. not understanding how the game of politics is played. A Frisbee neophyte is someone who has just thrown the disc for the first time.",entrant fledgeling fledgling freshman newbie newcomer starter catechumen,
0,approbation,(n) official approval (n) official recognition or approval,Approbation is a formal word for approval or praise. Approbation is like getting the nod in a big way. Politicians rely on the public’s approbation to get elected.,"How is it possible that approbation means approval when probation is a form of being in trouble? Probation is a testing period, to see if you can be good. Approbation means it's all good. Or you can remember this rhyme: ""Filled with approbation, the audience gave a standing ovation.""",,condemnation disapprobation
0,delineate,(adj) represented accurately or precisely (v) show the form or outline of (v) trace the shape of (v) make a mark or lines on a surface (v) determine the essential quality of (v) describe in vivid detail,"Though you pronounce it duh-LIN-ee-ate, there is a ""line"" in the middle of delineate. This might help you remember that to delineate is to outline and define something in detail or with an actual marking of lines and boundaries.","When you create an outline for a paper it usually summarizes what you will detail later. You delineate the sections, or mark the heading lines, and when you write the details, you delineate the subject of each heading. So, to delineate is both to mark lines and to fill in the lines. Using a fence to divide properties or a carpet to claim your side of the bedroom also is a way to delineate, or mark, physical boundaries.",delineated represented define limn outline describe draw line trace define delimit delimitate specify,undelineated undepicted unpictured undrawn
0,enhance,(v) increase (v) make better or more attractive,"Many people use the expression ""enhance your chance"" to point out ways to increase your chances of winning or earning a contest or prize. When you enhance something, you heighten it or make it better.","""Hance"" is not a word, but the addition of ""en-"" does something to enhance it and improve its sound. You can enhance the size of something, too, by altering it or raising it, which is what the word original meant (the ""hance"" part came via French from Latin altus, meaning ""high""). When you enhance something you take it to a higher level, like adding salt to French fries to enhance flavor or adding words to enhance your vocabulary.",heighten raise,
0,inadvertently,(adv) without knowledge or intention,"Inadvertently is an adverb that means ""without knowledge or intent,"" like when you inadvertently take someone else's coat from the coatroom because it looks just like yours.","When you do something inadvertently, you don't mean to do it â€” you might inadvertently step in a puddle, leave something important at home, or hurt your friend's feelings. Some things that happen inadvertently aren't mistakes, though: They happen by chance. For example,  if you just happen to park your car at the exact place that blocks a bus from hitting a pedestrian, you've inadvertently saved a life.",unknowingly unwittingly,advertently heedfully mindfully knowingly wittingly
0,obdurate,(adj) stubbornly persistent in wrongdoing (adj) showing unfeeling resistance to tender feelings,"Obdurate is a formal word meaning stubborn. If you want to major in English, but your parents are obdurate that you should go premed, they might go so far as to threaten not to pay your tuition.","This adjective descends from Latin obdurare ""to harden."" A near synonym is adamant, from Latin adamas ""hard metal, diamond."" So both of these synonyms derive from the quality of hardness being associated with a stubborn personality.",cussed obstinate unrepentant flint flinty granitic stony,
0,appropriate,"(adj) suitable for a particular person, place, condition, etc. (v) take possession of by force, as after an invasion (v) give or assign a resource to a particular person or cause","Something appropriate is correct and fits the situation. A sweater-vest with reindeer on it is appropriate holiday apparel, even if it's totally embarrassing.","The adjective appropriate is used when something is suitable or fitting. It comes from the Latin appropriare, which means ""to make something fit, to make something one's own."" Going back even further, appropriate is related to the Latin word proprius, ""to belong to a person, thing, or group."" Another appropriate way to use this word is as a verb, meaning to steal or seize something, the way you'd appropriate your sister's sandwich if she left it sitting near you.",befitting grade-appropriate pat proper right apropos proper capture conquer seize allow earmark reserve set aside,inappropriate unbefitting improper wrong malapropos improper
0,denigrate,(v) charge falsely or with malicious intent; attack the good name and reputation of someone (v) cause to seem less serious; play down,"To denigrate is to say bad things — true or false — about a person or thing. Your reputation as a math whiz might be hurt if your jealous classmate manages to denigrate you, even though the accusations are unfounded.","The verb denigrate comes from the Latin word denigrare, which means “to blacken.” To sully or defame someone’s reputation, or to spread negative or hurtful information about a company or a situation, is to denigrate it. Your neighbors may denigrate your proposal for mandatory recycling in an attempt to stop your plan. Denigrate can also mean that you're making something seem less important, like when your brother tries to denigrate your athletic achievements.",asperse besmirch calumniate defame slander smear smirch sully belittle derogate minimize,
0,ephemeral,"(n) anything short-lived, as an insect that lives only for a day in its winged form (adj) lasting a very short time","Something that is fleeting or short-lived is ephemeral, like a fly that lives for one day or text messages flitting from cellphone to cellphone.","Ephemeral (ə-FEM-ər-əl) was originally a medical term with the specific meaning ""lasting only one day,"" as a fever or sickness (Hemera means ""day"" in Greek.) The word became more general, coming to mean ""lasting a short time,"" covering the life spans of plants or insects and then eventually anything that is fleeting or transitory. A related word is the plural noun ephemera, meaning ""things that are meant to last for only a short time."" Posters for a rock concert are often ephemera, unless the band is so famous that they get saved and sold on eBay.",ephemeron fugacious passing short-lived transient transitory,
